ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
27398;-19.8556007;-43.9468091
27402;-19.9158595;-43.9344473
27414;-19.896207;-43.9066033
26762;-19.9666081;-43.9919649
27440;-19.9763249;-43.9717068
27132;-19.9248104;-43.9470704
27139;-19.8731821;-44.0095978
27472;-19.9375617;-43.9594066
27752;-19.8299231;-43.9791637
27787;-19.9205115;-43.9597735
27789;-19.8460286;-43.9765992
27517;-19.924622;-43.937362
27535;-19.9264996;-43.9662255
26870;-19.9301151;-43.9333474
26880;-19.8185826;-43.9481408
26881;-19.873171;-44.0011194
27590;-19.9494939;-43.9235873
27595;-19.927818;-43.93042
26601;-19.8893687;-43.9301428
26932;-20.006825;-44.0351382
27319;-19.7877454;-43.9888051
27331;-19.9217543;-43.9447993
26659;-19.9027906;-43.969674
27002;-19.9120954;-43.9432429
31445;-19.8916224;-44.0178538
31135;-19.9233531;-43.939773
31524;-19.8715138;-44.0159893
31528;-19.9957393;-44.0056874
31529;-19.9298101;-43.9567296
30518;-19.9009999;-43.8915656
30525;-19.9281198;-43.9473471
30526;-19.9202497;-43.9210977
30527;-19.9233531;-43.939773
30528;-19.8902883;-43.9678891
30529;-19.9337118;-43.9718101
30530;-19.9763249;-43.9717068
30531;-19.8463158;-43.9737447
30532;-19.9740672;-44.0212982
30534;-19.9740672;-44.0212982
30846;-19.8530076;-43.9558805
31171;-19.9398984;-43.9318961
31543;-19.896207;-43.9066033
31546;-19.9258821;-43.944422
31548;-19.9755422;-44.0189986
30542;-19.9303247;-43.954101
30546;-20.0007751;-44.0079099
30564;-19.8539317;-43.9831829
30570;-19.9281198;-43.9473471
31679;-19.867516;-44.0062616
30906;-19.9841166;-44.0275629
31225;-19.9677269;-43.9786889
31584;-19.950821;-43.9311314
31634;-19.8897642;-43.93999
30623;-19.9571651;-43.9659182
30960;-19.9763249;-43.9717068
31695;-19.9093894;-43.8972664
30649;-19.9281198;-43.9473471
31301;-19.9226105;-43.940276
30684;-19.9142636;-43.9406593
31009;-19.9571651;-43.9659182
31010;-19.8015366;-43.9476604
31011;-19.8810499;-44.0077946
31324;-19.8367646;-43.9718757
31036;-19.9387179;-43.9412853
31513;-19.8579245;-43.9389316
30742;-19.9438547;-44.0052413
31074;-19.8758891;-43.9975744
30436;-19.9180923;-43.9326859
29610;-19.9386192;-43.9336176
29945;-19.8599232;-43.9436798
29948;-19.8757047;-43.9974135
29281;-19.8463582;-43.9316727
30291;-19.8937008;-43.9362949
29691;-19.9396503;-43.9789774
30055;-19.9763249;-43.9717068
30409;-19.8672525;-44.0050322
30420;-19.9142636;-43.9406593
30072;-19.9201706;-43.9973468
30358;-19.9015744;-43.9263416
29767;-19.8187966;-43.9534866
